input_id	dealiased_id	standard_id	short_id
doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	doi:10.1038/sdata.2016.18	6DjakjNS
arxiv:2308.08155	arxiv:2308.08155	arxiv:2308.08155	N1YkY2gr
arxiv:2308.00352	arxiv:2308.00352	arxiv:2308.00352	riItUX06
arxiv:2307.07924	arxiv:2307.07924	arxiv:2307.07924	QgN2Vxoo
arxiv:2507.14034	arxiv:2507.14034	arxiv:2507.14034	7gNLIteu
doi:10.1145/356810.356816	doi:10.1145/356810.356816	doi:10.1145/356810.356816	cCSFSF6W
doi:10.1609/aimag.v7i2.537	doi:10.1609/aimag.v7i2.537	doi:10.1609/aimag.v7i2.537	1EGmazS9k
arxiv:2505.13400	arxiv:2505.13400	arxiv:2505.13400	18cRZGMrH
arxiv:2503.05854	arxiv:2503.05854	arxiv:2503.05854	uo9h8D8k
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
